Date,Service,Message
"2022-05-07T02:39:40.916Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:40.916Z	20ebe663-395e-43f8-9744-ae7c7bd66094	INFO	[dd.trace_id=6800119963899701992 dd.span_id=4190877073507058286] The event with eventId 77ebd90e-9983-473e-9ea8-75e83acc7f81-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:37.398Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:37.398Z	9b17ef32-fe32-4c1c-84e0-15ff51aa589a	INFO	[dd.trace_id=7258113283114090342 dd.span_id=8682311543622729257] The event with eventId 89923a04-c846-45f7-bc06-2d25c0495361-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:37.392Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:37.392Z	374243b0-2556-47fe-9d9e-552b3ed2efd3	INFO	[dd.trace_id=198598936533013370 dd.span_id=9048537319135811670] The event with eventId 586c70a7-5505-49f3-bf0f-e01b93ca7f53-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:37.238Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:37.238Z	f9421e27-f468-40f7-bc78-cdf158c687a2	INFO	[dd.trace_id=2530313337942939669 dd.span_id=8376321108784819241] The event with eventId 06d69f6b-6b4c-4425-8c08-a7bbbfdf5278-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:35.885Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:35.885Z	c3cc26d2-bba2-4d27-a233-3a304c141a41	INFO	[dd.trace_id=7576220928766569935 dd.span_id=1378791455757135954] The event with eventId 3f935f8c-0395-4393-9b20-c02005016e6c-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:34.804Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:34.804Z	87909b36-d662-4d02-991c-bddd2b84088d	INFO	[dd.trace_id=49407989661710749 dd.span_id=6098100117567841177] The event with eventId c426e07d-e237-4432-bd54-44863a700833-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:34.765Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:34.765Z	8064c938-78c8-4779-ab15-13ef241b6dbd	INFO	[dd.trace_id=5410113446866044849 dd.span_id=2074026363674517200] The event with eventId fce6f782-3824-45ea-be9f-62f772b0ba3c-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:34.322Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:34.322Z	38ad7daa-5cc5-4ee1-bf02-ea2231a0e724	INFO	[dd.trace_id=7709021604337666922 dd.span_id=7359185664464597170] The event with eventId 974d1e77-21cd-4f5c-b7e4-42010fa1f532-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:10.759Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:10.759Z	f0e663d0-6f8a-4a1f-b330-b27e7cd5d0c7	INFO	[dd.trace_id=5605360140677280842 dd.span_id=348820875798163414] The event with eventId 89923a04-c846-45f7-bc06-2d25c0495361-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:39:09.252Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:39:09.252Z	4b50c131-0bf5-434a-8b0c-08da26fe6541	INFO	[dd.trace_id=319802667861235436 dd.span_id=1481636209857302799] The event with eventId 06d69f6b-6b4c-4425-8c08-a7bbbfdf5278-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:57.263Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:57.263Z	b25a04d1-10b1-4024-a115-7a71ac63bcff	INFO	[dd.trace_id=7103682450150097334 dd.span_id=1003544195721870775] The event with eventId 586c70a7-5505-49f3-bf0f-e01b93ca7f53-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:56.130Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:56.130Z	a55e2ac5-d6e9-4b78-b063-2117b8d2db25	INFO	[dd.trace_id=5877079390365482034 dd.span_id=4964717205203020930] The event with eventId 974d1e77-21cd-4f5c-b7e4-42010fa1f532-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:55.703Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:55.703Z	3650150f-f6ce-4bb7-abf5-80bac87d23d6	INFO	[dd.trace_id=5869812838326274822 dd.span_id=2822996380940730346] The event with eventId 3f935f8c-0395-4393-9b20-c02005016e6c-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:54.351Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:54.351Z	0b7a8f31-6d79-4a2a-b501-b61853e3cb9e	INFO	[dd.trace_id=6296233078143081096 dd.span_id=6571342914028091451] The event with eventId c426e07d-e237-4432-bd54-44863a700833-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:54.157Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:54.157Z	82f3d158-269e-4492-a708-96a49871ebb0	INFO	[dd.trace_id=5230802857453491960 dd.span_id=4775829624614676231] The event with eventId fce6f782-3824-45ea-be9f-62f772b0ba3c-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:52.489Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:52.489Z	72c8784e-aa31-4412-8f40-325c710729e8	INFO	[dd.trace_id=8286975729659003733 dd.span_id=7403190666811552947] The event with eventId 821bd571-6768-4b35-9ad4-51e13c16f158-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:52.428Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:52.428Z	cad6aed0-b38d-4ee8-bb7e-2bee457cfb2f	INFO	[dd.trace_id=5890175707670348533 dd.span_id=4545032645527743282] The event with eventId 693f9a94-3b6d-40f3-a816-bd9ed3ae9b87-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:52.349Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:52.349Z	6b1d035f-8a67-4784-a9e1-0c6859bd11d6	INFO	[dd.trace_id=1203448823198070602 dd.span_id=7557550435456253400] The event with eventId ae43c4cb-3aa7-44b0-b179-6ba3f1d85a86-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:04.652Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:04.652Z	880a53ea-bf32-43fd-b50e-1cc06454ff0a	INFO	[dd.trace_id=1242220099720626786 dd.span_id=5565676664014209217] The event with eventId fce6f782-3824-45ea-be9f-62f772b0ba3c-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:03.098Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:03.098Z	f656ee29-0836-4a92-a98a-94583f1cefe1	INFO	[dd.trace_id=2089341728281621243 dd.span_id=9163160380486808073] The event with eventId ae43c4cb-3aa7-44b0-b179-6ba3f1d85a86-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:03.047Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:03.047Z	8042ab2f-6b18-44c3-974c-2ecfa9ae5801	INFO	[dd.trace_id=8648455730535897524 dd.span_id=6302250654120849042] The event with eventId 821bd571-6768-4b35-9ad4-51e13c16f158-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:03.037Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:03.037Z	e2f06607-e80c-4ede-8c6d-35b5b5251816	INFO	[dd.trace_id=8344305576754582119 dd.span_id=1382831813757768726] The event with eventId 974d1e77-21cd-4f5c-b7e4-42010fa1f532-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:01.749Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:01.749Z	5bfa9199-5c84-4540-9588-bb5e7c2f2f26	INFO	[dd.trace_id=884508336805189194 dd.span_id=7934402230850479416] The event with eventId 0226e1db-1efc-4168-8149-4e2561158241-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:38:01.743Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:38:01.743Z	deba956b-39e4-41f6-a520-953a55b3ed6d	INFO	[dd.trace_id=215986871185614704 dd.span_id=7743944920603590003] The event with eventId 693f9a94-3b6d-40f3-a816-bd9ed3ae9b87-accountSyncMulesoft was updated with sent status"
