Date,Service,Message
"2022-05-07T02:58:50.238Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:50.238Z	71989a64-3405-4bd0-b579-f8b082fa0899	INFO	[dd.trace_id=2869830443302123621 dd.span_id=8735903934735362697] The event with eventId ebd48ddb-ad4c-49ce-ab9c-5c7c1b98a48f-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:45.885Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:45.885Z	88a72978-cc82-4d27-9554-11523a3a1f33	INFO	[dd.trace_id=650255682226238082 dd.span_id=6543404280411324719] The event with eventId 82d7b255-9a8b-4e7a-9b6f-bc3d60217463-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:43.504Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:43.504Z	9bbab602-f26d-496a-8439-18ff360a74e7	INFO	[dd.trace_id=1842398231453585421 dd.span_id=3800715238255040730] The event with eventId 22c5f432-2521-46f4-8140-88286bcea122-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:35.974Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:35.974Z	0b437371-29f8-4b58-9181-3a5632d6f064	INFO	[dd.trace_id=6148467172145767699 dd.span_id=8710892877254094349] The event with eventId c6d6b1e6-9ac4-4b88-b751-2a8896aa3e89-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:35.781Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:35.781Z	7a9e3bcd-5ea8-4791-822b-8d04062947bd	INFO	[dd.trace_id=7409054547772279493 dd.span_id=539460082261078319] The event with eventId a593d19b-5e3d-4589-a275-dac3dc5d325f-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:35.567Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:35.567Z	90ef7de6-ad8a-467f-8c07-07a380cd8962	INFO	[dd.trace_id=3886928296966499440 dd.span_id=8208954389750929677] The event with eventId 4e9efdbc-b2fb-471d-a9b5-d6a37260e066-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:32.710Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:32.710Z	d87a7318-d626-44a1-bf87-5e43f52abb91	INFO	[dd.trace_id=4190103556425051714 dd.span_id=2946999232295142758] The event with eventId 42290164-8ada-4fc0-b44e-5eada9ba52ad-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:32.606Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:32.606Z	a0b77ab2-3194-4fdd-82bb-0bf9231ba322	INFO	[dd.trace_id=8020625832164468642 dd.span_id=8656321906574699506] The event with eventId 1171eacf-6585-44b0-a194-387bfcfbdc84-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:32.573Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:32.573Z	73e3c47c-3124-41be-950c-92d86aa969dc	INFO	[dd.trace_id=660010287504908355 dd.span_id=630283320014761912] The event with eventId 9b4f8b88-f6d0-4c31-803b-379ddcae8a59-accountSyncMulesoft was updated with sent status"
"2022-05-07T02:58:30.413Z","""olimpo-consumers-mulesoft-app""","2022-05-07T02:58:30.413Z	6abda1c7-554f-4049-8a36-e6519648ef72	INFO	[dd.trace_id=7119933000100630398 dd.span_id=359521451872380112] The event with eventId aeafae27-f0cf-4283-a857-2ae64ad3327c-accountSyncMulesoft was updated with sent status"
