Date,Service,Message
"2022-05-06T23:02:58.662Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:58.662Z	c5aaf16a-21bd-4dcd-8970-0ef3c14e8889	INFO	[dd.trace_id=2034601033411565715 dd.span_id=7363906421850249579] The event with eventId 58062e92-b0b9-47f0-a41b-4e15c3084136-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:58.539Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:58.539Z	5115c1c4-8589-415a-a8ee-2f0b2aae3a8b	INFO	[dd.trace_id=5522773064032155892 dd.span_id=618001066471358048] The event with eventId 1a5df1ff-5afc-447e-a50c-1d823acb13b1-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:58.523Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:58.523Z	52f65812-2550-4904-883f-9df5e24c43be	INFO	[dd.trace_id=7098739230890069370 dd.span_id=7627315512201174028] The event with eventId 3510c42e-9108-4991-b621-3f5491f51125-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:57.113Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:57.113Z	a86b34fd-5093-49d7-ba6b-323ae586bc53	INFO	[dd.trace_id=507197388088338443 dd.span_id=2416798019493589404] The event with eventId 4e9b930a-5434-4101-b546-ee7418701adc-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:57.102Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:57.102Z	e4c88cf0-05ab-4285-b964-8fe122d3e26c	INFO	[dd.trace_id=2207251287757520726 dd.span_id=3490709123955359675] The event with eventId d707beb1-5477-4a0b-b4f1-7bb5676482f9-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:57.029Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:57.029Z	55e1fcfd-bdfb-45e1-ab65-618a92ac8092	INFO	[dd.trace_id=3122112583999055282 dd.span_id=9194606263464248474] The event with eventId c50a29ae-68bb-483e-8cf6-04e8012034cc-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:54.951Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:54.951Z	9dc53977-8894-42ac-bf36-79f839acc178	INFO	[dd.trace_id=2068860485613355991 dd.span_id=1062529615666622390] The event with eventId 592fb02c-de34-4839-8c31-c14e8514bd66-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:53.202Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:53.202Z	1cb96a48-7d77-460b-be91-bebaf7e9041f	INFO	[dd.trace_id=6293709488825518855 dd.span_id=1061440152963173693] The event with eventId ab677482-4285-4690-be46-a49539272d30-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:53.056Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:53.056Z	76904e75-652b-4e72-9b65-bb32e209371e	INFO	[dd.trace_id=4138104079607401019 dd.span_id=2566973023542502190] The event with eventId f848becc-bfdc-4e9e-8445-c7657f473a40-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:51.308Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:51.308Z	29b895d8-2ec8-4f5b-8da8-6a25dbe9cda1	INFO	[dd.trace_id=8242113654778825146 dd.span_id=813001782718019421] The event with eventId 5a681e8a-f58f-440a-986d-ea2b00eddc95-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:49.569Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:49.569Z	0d9a34be-5e0c-40f0-8704-1f38d71f8779	INFO	[dd.trace_id=3697458053159596075 dd.span_id=8480324317774415702] The event with eventId 62a689ce-16c2-49b1-94c1-e9245bc1a59e-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:49.492Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:49.492Z	f152c8e7-dc4f-4dff-8132-18b25d6b1387	INFO	[dd.trace_id=2741238774820372807 dd.span_id=5807162287049747257] The event with eventId 21c32a9b-17ed-487a-9b4f-3524f39754f4-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:47.356Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:47.356Z	97ca5701-23f6-4fba-8085-d4256221e862	INFO	[dd.trace_id=1735888460099749589 dd.span_id=1203615850143359396] The event with eventId ac314e04-9f4b-4122-9e06-57914aa4ec59-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:47.344Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:47.344Z	00bb197d-d596-4d7c-a1cd-e6023383d44c	INFO	[dd.trace_id=7013648716914036179 dd.span_id=3284979757421749818] The event with eventId f7999d0a-a3c7-4e83-9dfa-e96ec7b051bc-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:47.338Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:47.338Z	1bbd745e-7ced-4c26-b4bd-5fb660b955ab	INFO	[dd.trace_id=5944644569617711897 dd.span_id=9189891401458639227] The event with eventId b989e85f-436b-48d6-a469-f18ec95ca06f-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:44.587Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:44.587Z	be6fb297-bfe1-460f-8545-07804e8c39bc	INFO	[dd.trace_id=3185128102131240692 dd.span_id=2887904276310780448] The event with eventId 433a21eb-871e-4cce-9d9f-85208421004a-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:44.547Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:44.547Z	af3ce803-7303-46c8-8f1a-e366376aff6a	INFO	[dd.trace_id=3830943560777057928 dd.span_id=1803024544971132908] The event with eventId 5e8a2258-8f32-4079-8f21-64d0c61f66f7-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:44.517Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:44.517Z	ac43a129-6f6d-4b97-8831-645eb85c5791	INFO	[dd.trace_id=8814189937670352428 dd.span_id=4875678365588923017] The event with eventId 42e01018-c6db-4803-8690-1d615997829e-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:41.088Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:41.088Z	f08e58d2-06e8-45af-bd1f-838784545957	INFO	[dd.trace_id=6690587518293365744 dd.span_id=6014193266911385599] The event with eventId ccde57fd-726a-41e2-88f8-ffbb5baee5aa-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:40.851Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:40.851Z	d089f72d-32ae-4132-984b-ad5e8577d3ce	INFO	[dd.trace_id=6019723534199463109 dd.span_id=4897097612670162118] The event with eventId fdce96d2-bd13-4e47-9599-bf4bf117296e-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:40.782Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:40.782Z	88fa4407-3930-40c8-9374-892b6834e6ca	INFO	[dd.trace_id=3139431291424311210 dd.span_id=1396807644903466953] The event with eventId f70ffe44-a9be-4162-91f9-16dd0131742c-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:38.850Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:38.850Z	0b3531ea-3515-42fa-8a34-9f42354e7254	INFO	[dd.trace_id=5420477582637191450 dd.span_id=6487234650315661698] The event with eventId 07826a0c-4207-4933-9911-6be6582b255b-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:38.668Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:38.668Z	8922e668-6a35-41fa-9f06-52ccc8b8b4f6	INFO	[dd.trace_id=7306159398595847153 dd.span_id=1733748269212321465] The event with eventId 6351cf6d-66ca-47e4-835e-210776c0d116-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:38.131Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:38.131Z	ca204c0c-0186-4634-a9ae-65d85deff043	INFO	[dd.trace_id=3262354750849287162 dd.span_id=2633768452553150543] The event with eventId 9171257e-4fec-421f-ac93-654260e0e1b7-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:37.089Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:37.089Z	4dc6a6cf-2648-4817-a64e-7230a2ea97d4	INFO	[dd.trace_id=1132558258258612613 dd.span_id=7197644412268110576] The event with eventId 7f1662e1-5285-49b3-a7bb-ced3b42982d5-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:37.049Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:37.049Z	6c7f04e6-2168-4ee0-9ce4-3aa0cfd2b326	INFO	[dd.trace_id=8546311876973725874 dd.span_id=5057654609326982875] The event with eventId ab5e2ef4-c72a-477e-9026-043df277a78d-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:33.909Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:33.909Z	912af161-e234-4319-b630-24798d39f502	INFO	[dd.trace_id=4873514944608550508 dd.span_id=5640852839477190182] The event with eventId 1294ccd2-b1fe-4c7e-a44d-a139a06b8c55-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:33.880Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:33.880Z	e2b8af03-5abb-4eb9-ad56-36ac4df04b03	INFO	[dd.trace_id=3545254517020282882 dd.span_id=7615091988397975222] The event with eventId 35b757bc-cca1-4b0f-82bb-e62b1c8a9da7-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:33.860Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:33.860Z	18eb868e-ee5a-4f6b-a6ff-882487be1065	INFO	[dd.trace_id=4047626297775030697 dd.span_id=942197384529554224] The event with eventId d632ee72-0463-4c43-807f-a740cbe2482b-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:32.095Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:32.095Z	d64b9e53-86f3-4f75-94da-05bbb3e5c43b	INFO	[dd.trace_id=4751027476260138769 dd.span_id=3607112685445591642] The event with eventId d35e16f9-07d9-4741-8a52-e3020555e79e-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:30.768Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:30.768Z	ebca4996-f429-4428-831d-96b5ede53174	INFO	[dd.trace_id=1388793593542368284 dd.span_id=3565694507551878021] The event with eventId ce8d0332-8def-4c93-b54c-5eb6b889cb4c-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:30.716Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:30.716Z	4ab042be-c19a-4574-b342-30cddee409b9	INFO	[dd.trace_id=5979130450748680881 dd.span_id=8537543796018982232] The event with eventId f11c891c-323b-4eb7-b595-9d3a12bcae2d-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:25.080Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:25.080Z	ff9f1cd7-6e71-44c1-8634-5281bfc1d7b6	INFO	[dd.trace_id=86600873842631940 dd.span_id=8896342980524284521] The event with eventId 1bfee52e-fbf4-440f-a067-193715b5d213-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:24.237Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:24.237Z	fefabddc-5e32-48f9-ad2d-8c0a03b4a18d	INFO	[dd.trace_id=4510116670766425320 dd.span_id=8592249313809340581] The event with eventId d7394a52-e32e-4d65-b67e-5db7655c64b7-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:21.733Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:21.733Z	82dbec39-0a81-4f79-9159-0a531aa874e3	INFO	[dd.trace_id=4801720816217202412 dd.span_id=9019171353479018445] The event with eventId d554cce5-ab4d-460f-8fcd-0e4106915f37-accountSyncMulesoft was updated with sent status"
"2022-05-06T23:02:20.168Z","""olimpo-consumers-mulesoft-app""","2022-05-06T23:02:20.168Z	21cb47b0-ceeb-4035-9607-e3ce51b886aa	INFO	[dd.trace_id=5284729471932675406 dd.span_id=9002173874455169602] The event with eventId 58c9239d-c613-4ba1-96fb-7a753c95fdf8-accountSyncMulesoft was updated with sent status"
