Date,Service,Message
"2022-05-06T15:44:59.169Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:59.169Z	f0ea5f24-328d-4cc8-a7fe-9bc1526856a8	INFO	[dd.trace_id=7701888153475700942 dd.span_id=5212972232062351287] The event with eventId 733ad689-f0ef-434a-9671-4b6643fe2e56-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:59.092Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:59.092Z	94e3834f-4cd8-4eb8-8c6a-08d0f4294298	INFO	[dd.trace_id=765729610768528558 dd.span_id=3874616370573377351] The event with eventId 1bd842a9-747a-429c-a3ef-f23185b8e46f-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:58.652Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:58.652Z	98ccdb4c-9543-4a52-afe2-325c27c0564f	INFO	[dd.trace_id=7745919698983276518 dd.span_id=6501489144295156935] The event with eventId f370e329-67b6-4598-b840-a55af2f51fc3-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:56.038Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:56.038Z	cbee4785-17ab-47f7-86cc-e6d1a9a6b318	INFO	[dd.trace_id=6976161981848917987 dd.span_id=2200469407199025065] The event with eventId d5ccc572-842f-4db2-8bf1-a531abab00c8-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:56.029Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:56.029Z	1dcfb663-17d8-4c3e-987c-580fe21482c0	INFO	[dd.trace_id=5009622341049447767 dd.span_id=3691112225381242135] The event with eventId f657f442-03a1-460f-873e-42976858e530-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:55.862Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:55.862Z	ad49e349-002d-4bf4-9c18-33199958e5d2	INFO	[dd.trace_id=8839036300778765368 dd.span_id=1879483255688612499] The event with eventId 58a03d36-4533-4a19-a457-30535dc805b5-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:53.271Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:53.271Z	0013a9e1-783c-466a-abe4-3dd97095df9b	INFO	[dd.trace_id=8617453900250804311 dd.span_id=397622902254713994] The event with eventId 56e4afe4-5282-4afd-a554-5263aef80e3b-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:53.216Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:53.216Z	df50e095-8140-417f-9a3a-78d10e545619	INFO	[dd.trace_id=6259093058337996630 dd.span_id=1633362393323917167] The event with eventId 42353e05-efa7-4252-a36a-0667607f97a8-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:53.136Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:53.136Z	30e0692b-6a08-43de-95f4-8a7762d77705	INFO	[dd.trace_id=514074579234816537 dd.span_id=1537802334836298900] The event with eventId 41f396fe-e631-4c10-b5cb-b3cdb1f74420-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:50.930Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:50.930Z	5ae0ec6d-4ea2-4cfd-9987-a35d15802db5	INFO	[dd.trace_id=2841070894970106987 dd.span_id=2493144313913368560] The event with eventId 38dfd592-cdbc-43c5-8bd7-1d76d8a869ef-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:50.760Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:50.760Z	98b43186-a042-40ec-8d5d-109b44e9495b	INFO	[dd.trace_id=6769817454309215830 dd.span_id=2686888707323564771] The event with eventId 1b48828e-2ddc-4fb5-bda5-126207e1a3e3-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:39.399Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:39.399Z	1e00a011-22c5-4a90-a6d6-cdb49093a443	INFO	[dd.trace_id=7329757146875339711 dd.span_id=5822284540195580693] The event with eventId 8db1030a-b80e-4891-a95b-73a1987b52e8-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:36.289Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:36.289Z	653d3163-6376-441a-a8f2-69651b19d0f9	INFO	[dd.trace_id=5172370056182522026 dd.span_id=2753238389544818739] The event with eventId f72da79b-7139-4627-b590-afd8b71d97ae-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:22.892Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:22.892Z	d646d35e-c8f1-465a-a42a-9cf0186c3965	INFO	[dd.trace_id=3636020511767291689 dd.span_id=3528265937092428550] The event with eventId b13d978c-8203-4f41-96ba-7413661eedfa-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:16.775Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:16.775Z	b158ef8f-305d-43bd-963a-48671e596470	INFO	[dd.trace_id=2510221370087687594 dd.span_id=6889148652695768565] The event with eventId 57a1ed27-0ecc-4e9d-a741-9000f4bd8d98-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:16.757Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:16.757Z	547dedbd-9f99-4ef7-bf9d-9044f55a86be	INFO	[dd.trace_id=2713410427369922571 dd.span_id=7112312058130409535] The event with eventId a2cf9e87-d47e-4b3a-aa5b-1e7957d33f9c-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:16.706Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:16.706Z	333494ee-708b-4010-9b14-604c2f4b6bfd	INFO	[dd.trace_id=6302518848889118153 dd.span_id=9041031882127200248] The event with eventId 0c92f11b-fa33-46a2-8dc4-5f85e1741a44-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:13.901Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:13.901Z	6c69cdab-2859-4b96-8375-33b9bfcb6887	INFO	[dd.trace_id=6843155158614448515 dd.span_id=539298096895498132] The event with eventId de8c12e8-a295-4c27-889f-8a774dcd7f90-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:13.870Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:13.870Z	ca46ae09-6010-49ee-b07c-bb984c599e65	INFO	[dd.trace_id=3455931777746959210 dd.span_id=2432631303909161771] The event with eventId 70777755-3331-4115-8477-51bf50312a40-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:13.785Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:13.785Z	bc478e61-2cb5-4a0a-97e3-c00af7da0455	INFO	[dd.trace_id=1711103937443785372 dd.span_id=33114409444685864] The event with eventId 6a43e269-c931-45b8-b96c-67ef2a4c5892-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:11.338Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:11.338Z	bc46fbd0-f779-4314-b10d-0efdbc670da0	INFO	[dd.trace_id=5943736114451065285 dd.span_id=2457189192111110308] The event with eventId f370e329-67b6-4598-b840-a55af2f51fc3-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:11.177Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:11.177Z	d0310f0d-6ee0-4a20-bc04-9dd3922e7c98	INFO	[dd.trace_id=1721875149981821513 dd.span_id=6231384252160350241] The event with eventId 6d389a26-fe7b-40ba-8cb1-6d92afe8167c-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:11.154Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:11.154Z	22f0dc09-093d-46e0-bd71-92e74f7bb04e	INFO	[dd.trace_id=8581916972335091217 dd.span_id=332404446183712593] The event with eventId c52d97af-def8-4db7-8ce9-b72b42942d47-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:09.055Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:09.055Z	937ec67c-85d9-4739-a14e-1cd908d0a4bc	INFO	[dd.trace_id=2675798772266342731 dd.span_id=1839918996714841991] The event with eventId 1bd842a9-747a-429c-a3ef-f23185b8e46f-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:08.818Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:08.818Z	89915be0-2260-4a24-b1a8-3825733a25f1	INFO	[dd.trace_id=2630121548952728874 dd.span_id=5901063437358983476] The event with eventId f657f442-03a1-460f-873e-42976858e530-accountSyncMulesoft was updated with sent status"
"2022-05-06T15:44:08.806Z","""olimpo-consumers-mulesoft-app""","2022-05-06T15:44:08.806Z	6c4e61a9-a89f-41ed-a6a1-fc5f4f70f273	INFO	[dd.trace_id=6023897293756695451 dd.span_id=4537747370979481894] The event with eventId 733ad689-f0ef-434a-9671-4b6643fe2e56-accountSyncMulesoft was updated with sent status"
